batteryMilliAmps,batteryMilliWatts,isBatteryInFloat,batteryVoltage,samplePeriodMilliSec,kalman_soc,SoC_LibreSolar
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
0.14,0.01925,3,13.75,1.0,10.0,10.0
0.02,0.00276,3,13.82,1.0,10.0,10.0
-0.04,-0.0055,3,13.76,1.0,10.0,10.0
-0.04,-0.00548,3,13.7,1.0,10.0,10.0
-0.04,-0.00546,3,13.67,1.0,10.0,10.0
-0.03,-0.00409,3,13.64,1.0,10.0,10.0
-0.04,-0.00544,3,13.61,1.0,10.0,10.0
-0.03,-0.00407,3,13.59,1.0,10.0,10.0
-0.04,-0.00542,3,13.57,1.0,10.0,10.0
0.42,0.05808,3,13.83,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.02,-0.00276,3,13.81,1.0,10.0,10.0
0.39,0.05397,3,13.84,1.0,10.0,10.0
0.0,0.0,3,13.75,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00411,3,13.71,1.0,10.0,10.0
-0.02,-0.00273,3,13.68,1.0,10.0,10.0
-0.03,-0.00408,3,13.63,1.0,10.0,10.0
-0.03,-0.00408,3,13.61,1.0,10.0,10.0
0.06,0.00828,3,13.81,1.0,10.0,10.0
-0.03,-0.00411,3,13.73,1.0,10.0,10.0
0.03,0.00414,3,13.82,1.0,10.0,10.0
-0.04,-0.0055,3,13.76,1.0,10.0,10.0
-0.04,-0.00548,3,13.7,1.0,10.0,10.0
-0.04,-0.00546,3,13.67,1.0,10.0,10.0
0.38,0.05209,3,13.71,1.0,10.0,10.0
-0.03,-0.00414,3,13.81,1.0,10.0,10.0
0.41,0.0567,3,13.83,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
-0.04,-0.00548,3,13.7,1.0,10.0,10.0
-0.03,-0.00409,3,13.66,1.0,10.0,10.0
-0.03,-0.00408,3,13.63,1.0,10.0,10.0
0.25,0.0345,3,13.8,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
0.26,0.03585,3,13.79,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.04,-0.00549,3,13.73,1.0,10.0,10.0
0.5,0.0691,3,13.82,1.0,10.0,10.0
0.23,0.03155,3,13.72,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.03,-0.00411,3,13.71,1.0,10.0,10.0
0.07,0.00957,3,13.68,1.0,10.0,10.0
-0.04,-0.00548,3,13.7,1.0,10.0,10.0
0.21,0.02895,3,13.79,1.0,10.0,10.0
-0.04,-0.00551,3,13.78,1.0,10.0,10.0
-0.02,-0.00276,3,13.8,1.0,10.0,10.0
-0.04,-0.00549,3,13.73,1.0,10.0,10.0
-0.04,-0.00547,3,13.68,1.0,10.0,10.0
-0.04,-0.00544,3,13.61,1.0,10.0,10.0
0.22,0.03033,3,13.79,1.0,10.0,10.0
0.24,0.03309,3,13.79,1.0,10.0,10.0
-0.04,-0.00546,3,13.67,1.0,10.0,10.0
-0.03,-0.00408,3,13.61,1.0,10.0,10.0
-0.02,-0.00271,3,13.58,1.0,10.0,10.0
0.52,0.07124,3,13.7,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.02,-0.00276,3,13.8,1.0,10.0,10.0
-0.03,-0.00412,3,13.74,1.0,10.0,10.0
-0.04,-0.00547,3,13.68,1.0,10.0,10.0
-0.05,-0.00681,3,13.63,1.0,10.0,10.0
-0.03,-0.00408,3,13.61,1.0,10.0,10.0
-0.02,-0.00271,3,13.58,1.0,10.0,10.0
-0.04,-0.00542,3,13.56,1.0,10.0,10.0
-0.04,-0.00542,3,13.55,1.0,10.0,10.0
-0.04,-0.00542,3,13.55,1.0,10.0,10.0
-0.03,-0.00405,3,13.53,1.0,10.0,10.0
0.01,0.00135,3,13.53,1.0,10.0,10.0
0.01,0.00135,3,13.53,1.0,10.0,10.0
0.0,0.0,3,13.53,1.0,10.0,10.0
0.0,0.0,3,13.53,1.0,10.0,10.0
0.01,0.00135,3,13.53,1.0,10.0,10.0
0.0,0.0,3,13.52,1.0,10.0,10.0
0.01,0.00135,3,13.52,1.0,10.0,10.0
0.01,0.00135,3,13.52,1.0,10.0,10.0
0.01,0.00135,3,13.52,1.0,10.0,10.0
0.01,0.00135,3,13.52,1.0,10.0,10.0
0.01,0.00135,3,13.52,1.0,10.0,10.0
0.0,0.0,3,13.51,1.0,10.0,10.0
0.01,0.00135,3,13.51,1.0,10.0,10.0
0.01,0.00135,3,13.5,1.0,10.0,10.0
0.0,0.0,3,13.5,1.0,10.0,10.0
0.0,0.0,3,13.5,1.0,10.0,10.0
0.01,0.00135,3,13.5,1.0,10.0,10.0
0.01,0.00134,3,13.49,1.0,10.0,10.0
0.01,0.00134,3,13.49,1.0,10.0,10.0
0.01,0.00134,3,13.49,1.0,10.0,10.0
0.01,0.00134,3,13.48,1.0,10.0,10.0
0.0,0.0,3,13.49,1.0,10.0,10.0
0.01,0.00134,3,13.49,1.0,10.0,10.0
0.01,0.00134,3,13.48,1.0,10.0,10.0
0.0,0.0,3,13.48,1.0,10.0,10.0
0.0,0.0,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.48,1.0,10.0,10.0
0.0,0.0,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.0,0.0,3,13.48,1.0,10.0,10.0
0.0,0.0,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.0,0.0,3,13.47,1.0,10.0,10.0
0.0,0.0,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.0,0.0,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.0,0.0,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
-0.03,-0.00425,3,14.18,1.0,10.0,10.0
-0.02,-0.00279,3,13.95,1.0,10.0,10.0
-0.03,-0.00414,3,13.81,1.0,10.0,10.0
-0.04,-0.00548,3,13.71,1.0,10.0,10.0
-0.03,-0.00408,3,13.63,1.0,10.0,10.0
-0.04,-0.00543,3,13.58,1.0,10.0,10.0
-0.03,-0.00406,3,13.56,1.0,10.0,10.0
-0.04,-0.00541,3,13.54,1.0,10.0,10.0
-0.03,-0.00405,3,13.52,1.0,10.0,10.0
-0.03,-0.00405,3,13.51,1.0,10.0,10.0
-0.03,-0.00405,3,13.51,1.0,10.0,10.0
0.0,0.0,3,13.51,1.0,10.0,10.0
0.01,0.00135,3,13.51,1.0,10.0,10.0
0.0,0.0,3,13.51,1.0,10.0,10.0
0.0,0.0,3,13.51,1.0,10.0,10.0
0.0,0.0,3,13.5,1.0,10.0,10.0
0.0,0.0,3,13.5,1.0,10.0,10.0
0.01,0.00135,3,13.5,1.0,10.0,10.0
0.0,0.0,3,13.5,1.0,10.0,10.0
0.0,0.0,3,13.49,1.0,10.0,10.0
0.0,0.0,3,13.49,1.0,10.0,10.0
0.01,0.00134,3,13.49,1.0,10.0,10.0
0.0,0.0,3,13.49,1.0,10.0,10.0
0.0,0.0,3,13.48,1.0,10.0,10.0
0.0,0.0,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.49,1.0,10.0,10.0
0.01,0.00134,3,13.49,1.0,10.0,10.0
0.0,0.0,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.48,1.0,10.0,10.0
0.0,0.0,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.0,0.0,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.48,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.47,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.0,0.0,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.0,0.0,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.0,0.0,3,13.46,1.0,10.0,10.0
0.0,0.0,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.45,1.0,10.0,10.0
0.01,0.00134,3,13.45,1.0,10.0,10.0
0.01,0.00134,3,13.45,1.0,10.0,10.0
0.01,0.00134,3,13.45,1.0,10.0,10.0
0.0,0.0,3,13.45,1.0,10.0,10.0
0.0,0.0,3,13.45,1.0,10.0,10.0
0.0,0.0,3,13.45,1.0,10.0,10.0
0.01,0.00134,3,13.45,1.0,10.0,10.0
0.0,0.0,3,13.45,1.0,10.0,10.0
0.01,0.00134,3,13.45,1.0,10.0,10.0
0.0,0.0,3,13.45,1.0,10.0,10.0
0.01,0.00134,3,13.46,1.0,10.0,10.0
0.01,0.00134,3,13.45,1.0,10.0,10.0
0.0,0.0,3,13.45,1.0,10.0,10.0
0.01,0.00134,3,13.44,1.0,10.0,10.0
0.01,0.00134,3,13.44,1.0,10.0,10.0
0.01,0.00134,3,13.44,1.0,10.0,10.0
0.0,0.0,3,13.44,1.0,10.0,10.0
0.0,0.0,3,13.44,1.0,10.0,10.0
0.01,0.00134,3,13.45,1.0,10.0,10.0
-0.02,-0.00283,3,14.15,1.0,10.0,10.0
-0.03,-0.00417,3,13.92,1.0,10.0,10.0
-0.04,-0.0055,3,13.77,1.0,10.0,10.0
-0.03,-0.00409,3,13.65,1.0,10.0,10.0
-0.03,-0.00407,3,13.59,1.0,10.0,10.0
-0.04,-0.00542,3,13.56,1.0,10.0,10.0
-0.04,-0.00541,3,13.53,1.0,10.0,10.0
-0.03,-0.00405,3,13.52,1.0,10.0,10.0
0.4,0.05432,3,13.58,1.0,10.0,10.0
0.0,0.0,3,13.75,1.0,10.0,10.0
-0.02,-0.00276,3,13.8,1.0,10.0,10.0
-0.04,-0.0055,3,13.77,1.0,10.0,10.0
-0.02,-0.00275,3,13.77,1.0,10.0,10.0
0.01,0.00137,3,13.75,1.0,10.0,10.0
-0.04,-0.0055,3,13.75,1.0,10.0,10.0
-0.04,-0.00547,3,13.69,1.0,10.0,10.0
0.17,0.02347,3,13.81,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
0.06,0.00829,3,13.82,1.0,10.0,10.0
-0.03,-0.00412,3,13.74,1.0,10.0,10.0
-0.04,-0.0055,3,13.77,1.0,10.0,10.0
-0.04,-0.00546,3,13.66,1.0,10.0,10.0
-0.04,-0.00544,3,13.62,1.0,10.0,10.0
-0.04,-0.00544,3,13.6,1.0,10.0,10.0
0.51,0.06987,3,13.7,1.0,10.0,10.0
-0.02,-0.00276,3,13.8,1.0,10.0,10.0
0.32,0.04409,3,13.78,1.0,10.0,10.0
0.06,0.00828,3,13.81,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
0.17,0.02347,3,13.81,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00411,3,13.73,1.0,10.0,10.0
-0.03,-0.00409,3,13.65,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
0.52,0.07186,3,13.82,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00411,3,13.73,1.0,10.0,10.0
-0.04,-0.00547,3,13.68,1.0,10.0,10.0
0.17,0.02346,3,13.8,1.0,10.0,10.0
-0.04,-0.00551,3,13.79,1.0,10.0,10.0
-0.03,-0.00411,3,13.72,1.0,10.0,10.0
-0.03,-0.0041,3,13.68,1.0,10.0,10.0
0.17,0.02346,3,13.8,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
0.43,0.05946,3,13.83,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
-0.03,-0.00414,3,13.81,1.0,10.0,10.0
-0.04,-0.0055,3,13.75,1.0,10.0,10.0
-0.04,-0.00547,3,13.69,1.0,10.0,10.0
-0.04,-0.00546,3,13.65,1.0,10.0,10.0
-0.04,-0.00544,3,13.62,1.0,10.0,10.0
0.37,0.0505,3,13.65,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
0.15,0.0207,3,13.8,1.0,10.0,10.0
-0.04,-0.0055,3,13.76,1.0,10.0,10.0
-0.03,-0.0041,3,13.69,1.0,10.0,10.0
-0.03,-0.00409,3,13.66,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.04,-0.0055,3,13.76,1.0,10.0,10.0
-0.03,-0.00411,3,13.7,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.02,-0.00275,3,13.79,1.0,10.0,10.0
-0.04,-0.00551,3,13.79,1.0,10.0,10.0
-0.03,-0.00411,3,13.73,1.0,10.0,10.0
-0.04,-0.00547,3,13.68,1.0,10.0,10.0
0.17,0.02323,3,13.67,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
0.15,0.02068,3,13.79,1.0,10.0,10.0
-0.04,-0.00551,3,13.79,1.0,10.0,10.0
-0.04,-0.00549,3,13.74,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.02,-0.00275,3,13.79,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
-0.03,-0.00412,3,13.74,1.0,10.0,10.0
-0.03,-0.0041,3,13.69,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
-0.03,-0.00411,3,13.73,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
